Time start, Total time (seconds), Workout type, Time, Pulse
1/19/24 15:06,181,Koşmak,1/19/24 15:06,69
1/19/24 15:06,181,Koşmak,1/19/24 15:07,69
1/19/24 15:06,181,Koşmak,1/19/24 15:07,76
1/19/24 15:06,181,Koşmak,1/19/24 15:07,106
1/19/24 15:06,181,Koşmak,1/19/24 15:07,114
1/19/24 15:06,181,Koşmak,1/19/24 15:07,115
1/19/24 15:06,181,Koşmak,1/19/24 15:07,124
1/19/24 15:06,181,Koşmak,1/19/24 15:08,135
1/19/24 15:06,181,Koşmak,1/19/24 15:08,138
1/19/24 15:06,181,Koşmak,1/19/24 15:08,140
1/19/24 15:06,181,Koşmak,1/19/24 15:08,141
1/19/24 15:06,181,Koşmak,1/19/24 15:08,144
1/19/24 15:06,181,Koşmak,1/19/24 15:08,145
1/19/24 15:06,181,Koşmak,1/19/24 15:09,145
1/19/24 15:06,181,Koşmak,1/19/24 15:09,130
1/19/24 15:06,181,Koşmak,1/19/24 15:09,123
1/19/24 13:58,181,Koşmak,1/19/24 13:58,0
1/19/24 13:58,181,Koşmak,1/19/24 13:58,0
1/19/24 13:58,181,Koşmak,1/19/24 13:58,107
1/19/24 13:58,181,Koşmak,1/19/24 13:59,116
1/19/24 13:58,181,Koşmak,1/19/24 13:59,118
1/19/24 13:58,181,Koşmak,1/19/24 13:59,110
1/19/24 13:58,181,Koşmak,1/19/24 13:59,107
1/19/24 13:58,181,Koşmak,1/19/24 13:59,107
1/19/24 13:58,181,Koşmak,1/19/24 13:59,115
1/19/24 13:58,181,Koşmak,1/19/24 14:00,127
1/19/24 13:58,181,Koşmak,1/19/24 14:00,133
1/19/24 13:58,181,Koşmak,1/19/24 14:00,149
1/19/24 13:58,181,Koşmak,1/19/24 14:00,155
1/19/24 13:58,181,Koşmak,1/19/24 14:00,145
1/19/24 13:58,181,Koşmak,1/19/24 14:00,139
1/19/24 13:58,181,Koşmak,1/19/24 14:01,128
1/19/24 13:58,181,Koşmak,1/19/24 14:01,121
1/19/24 13:58,181,Koşmak,1/19/24 14:01,119
1/17/24 18:36,181,Koşmak,1/17/24 18:36,0
1/17/24 18:36,181,Koşmak,1/17/24 18:36,0
1/17/24 18:36,181,Koşmak,1/17/24 18:36,107
1/17/24 18:36,181,Koşmak,1/17/24 18:37,115
1/17/24 18:36,181,Koşmak,1/17/24 18:37,120
1/17/24 18:36,181,Koşmak,1/17/24 18:37,112
1/17/24 18:36,181,Koşmak,1/17/24 18:37,123
1/17/24 18:36,181,Koşmak,1/17/24 18:37,128
1/17/24 18:36,181,Koşmak,1/17/24 18:37,130
1/17/24 18:36,181,Koşmak,1/17/24 18:38,148
1/17/24 18:36,181,Koşmak,1/17/24 18:38,146
1/17/24 18:36,181,Koşmak,1/17/24 18:38,146
1/17/24 18:36,181,Koşmak,1/17/24 18:38,151
1/17/24 18:36,181,Koşmak,1/17/24 18:38,156
1/17/24 18:36,181,Koşmak,1/17/24 18:38,163
1/17/24 18:36,181,Koşmak,1/17/24 18:39,163
1/17/24 18:36,181,Koşmak,1/17/24 18:39,162
1/17/24 18:36,181,Koşmak,1/17/24 18:39,159
1/17/24 17:30,181,Koşmak,1/17/24 17:30,0
1/17/24 17:30,181,Koşmak,1/17/24 17:30,0
1/17/24 17:30,181,Koşmak,1/17/24 17:30,70
1/17/24 17:30,181,Koşmak,1/17/24 17:30,91
1/17/24 17:30,181,Koşmak,1/17/24 17:30,109
1/17/24 17:30,181,Koşmak,1/17/24 17:30,115
1/17/24 17:30,181,Koşmak,1/17/24 17:31,118
1/17/24 17:30,181,Koşmak,1/17/24 17:31,118
1/17/24 17:30,181,Koşmak,1/17/24 17:31,124
1/17/24 17:30,181,Koşmak,1/17/24 17:31,137
1/17/24 17:30,181,Koşmak,1/17/24 17:31,140
1/17/24 17:30,181,Koşmak,1/17/24 17:31,128
1/17/24 17:30,181,Koşmak,1/17/24 17:32,124
1/17/24 17:30,181,Koşmak,1/17/24 17:32,139
1/17/24 17:30,181,Koşmak,1/17/24 17:32,137
1/17/24 17:30,181,Koşmak,1/17/24 17:32,133
1/17/24 17:30,181,Koşmak,1/17/24 17:32,124
1/17/24 17:30,181,Koşmak,1/17/24 17:32,108
1/15/24 17:20,180,Koşmak,1/15/24 17:20,0
1/15/24 17:20,180,Koşmak,1/15/24 17:20,0
1/15/24 17:20,180,Koşmak,1/15/24 17:20,75
1/15/24 17:20,180,Koşmak,1/15/24 17:20,89
1/15/24 17:20,180,Koşmak,1/15/24 17:21,108
1/15/24 17:20,180,Koşmak,1/15/24 17:21,117
1/15/24 17:20,180,Koşmak,1/15/24 17:21,112
1/15/24 17:20,180,Koşmak,1/15/24 17:21,128
1/15/24 17:20,180,Koşmak,1/15/24 17:21,137
1/15/24 17:20,180,Koşmak,1/15/24 17:21,143
1/15/24 17:20,180,Koşmak,1/15/24 17:22,141
1/15/24 17:20,180,Koşmak,1/15/24 17:22,144
1/15/24 17:20,180,Koşmak,1/15/24 17:22,145
1/15/24 17:20,180,Koşmak,1/15/24 17:22,153
1/15/24 17:20,180,Koşmak,1/15/24 17:22,154
1/15/24 17:20,180,Koşmak,1/15/24 17:22,152
1/15/24 17:20,180,Koşmak,1/15/24 17:23,148
1/15/24 17:20,180,Koşmak,1/15/24 17:23,144
1/15/24 16:19,180,Koşmak,1/15/24 16:19,0
1/15/24 16:19,180,Koşmak,1/15/24 16:20,0
1/15/24 16:19,180,Koşmak,1/15/24 16:20,82
1/15/24 16:19,180,Koşmak,1/15/24 16:20,91
1/15/24 16:19,180,Koşmak,1/15/24 16:20,108
1/15/24 16:19,180,Koşmak,1/15/24 16:20,118
1/15/24 16:19,180,Koşmak,1/15/24 16:20,122
1/15/24 16:19,180,Koşmak,1/15/24 16:21,124
1/15/24 16:19,180,Koşmak,1/15/24 16:21,130
1/15/24 16:19,180,Koşmak,1/15/24 16:21,138
1/15/24 16:19,180,Koşmak,1/15/24 16:21,136
1/15/24 16:19,180,Koşmak,1/15/24 16:21,138
1/15/24 16:19,180,Koşmak,1/15/24 16:21,128
1/15/24 16:19,180,Koşmak,1/15/24 16:22,127
1/15/24 16:19,180,Koşmak,1/15/24 16:22,129
1/15/24 16:19,180,Koşmak,1/15/24 16:22,118
1/15/24 16:19,180,Koşmak,1/15/24 16:22,116
1/15/24 16:19,180,Koşmak,1/15/24 16:22,110
